JW_ID,Entry,Protein names,Length,Gene Names (primary),AlphaFoldDB,PDB
JW3715,P68699,ATP synthase subunit c (ATP synthase F(0) sector subunit c) (Dicyclohexylcarbodiimide-binding protein) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein),79,atpE,P68699;,1A91;1ATY;1C0V;1C17;1C99;1IJP;1L6T;1QO1;4UTQ;5T4O;5T4P;5T4Q;6OQR;6OQS;6OQT;6OQU;6OQV;6OQW;6PQV;6VWK;6WNQ;6WNR;8DBP;8DBQ;8DBR;8DBS;8DBT;8DBU;8DBV;8DBW;
JW5611,P0ABC0,ATP synthase protein I,126,atpI,P0ABC0;,
JW3721,P0ACI6,Regulatory protein AsnC,152,asnC,P0ACI6;,2CG4;
JW5857,P04982,D-ribose pyranase (EC 5.4.99.62),139,rbsD,P04982;,
JW3742,P0ADG1,Acetolactate synthase isozyme 2 small subunit (EC 2.2.1.6) (ALS-II) (Acetohydroxy-acid synthase II small subunit) (AHAS-II),87,ilvM,P0ADG1;,
JW3748,P0A9L5,Peptidyl-prolyl cis-trans isomerase C (PPIase C) (EC 5.2.1.8) (Par10) (Parvulin) (Rotamase C),93,ppiC,P0A9L5;,1JNS;1JNT;
JW5856,P0AA25,Thioredoxin 1 (Trx-1),109,trxA,P0AA25;,1F6M;1KEB;1M7T;1OAZ;1SKR;1SKS;1SKW;1SL0;1SL1;1SL2;1SRX;1T7P;1T8E;1THO;1TK0;1TK5;1TK8;1TKD;1TXX;1X9M;1X9S;1X9W;1XOA;1XOB;1ZCP;1ZYQ;1ZZY;2AJQ;2BTO;2EIO;2EIQ;2EIR;2FCH;2FD3;2H6X;2H6Y;2H6Z;2H70;2H71;2H72;2H73;2H74;2H75;2H76;2O8V;2TIR;2TRX;3DYR;4HU7;4HU9;4HUA;4X43;5HR0;5HR1;5HR2;5HR3;5XOC;6GD1;6GDG;6H7J;6H7L;6H7M;6H7N;6H7O;6IBL;6LUR;6N7W;6P7E;6Y4Y;6Y4Z;6YEV;7SCD;7SCE;8KGZ;
JW3779,P27838,Iron-sulfur cluster assembly protein CyaY (Bacterial frataxin ortholog),106,cyaY,P27838;,1EW4;1SOY;2EFF;2P1X;8HZ1;8IVK;8IWI;
JW3790,P27842,Uncharacterized protein YigF,126,yigF,P27842;,
JW3830,P0ADP9,Protein YihD,89,yihD,P0ADP9;,
JW3858,P0A6M4,D-aminoacyl-tRNA deacylase (DTD) (EC 3.1.1.96) (D-tyrosyl RNA deacylase) (D-tyrosyl-tRNA(Tyr) deacylase) (Gly-tRNA(Ala) deacylase) (Gly-tRNA(Gly) deacylase),145,dtd,P0A6M4;,1JKE;
JW3871,P32155,PTS system fructose-like EIIA component (Fructose-like phosphotransferase enzyme IIA component),148,frvA,P32155;,
JW3872,P32156,L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase),104,rhaM,P32156;,1X8D;
JW5558,P0AE85,Periplasmic protein CpxP (ORF_o167) (Periplasmic accessory protein CpxP),166,cpxP,P0AE85;,3ITF;3QZC;
JW3892,P0AF34,Uncharacterized protein YiiR,146,yiiR,P0AF34;,
JW3893,P32162,UPF0381 protein YiiS,99,yiiS,P32162;,2K3I;
JW3894,P0AAB8,Universal stress protein D,142,uspD,P0AAB8;,
JW3899,P0AF36,Cell division protein ZapB,81,zapB,P0AF36;,2JEE;
JW3907,P0A7M9,Large ribosomal subunit protein bL31 (50S ribosomal protein L31),70,rpmE,P0A7M9;,2J28;2RDO;3BBX;3J9Y;3J9Z;3JA1;4V4H;4V4Q;4V5B;4V65;4V66;4V6K;4V6L;4V6N;4V6O;4V6P;4V6Q;4V6R;4V6S;4V6V;5AFI;5AKA;5IQR;5KCS;5KPS;5KPV;5KPW;5KPX;5L3P;5LZA;5LZB;5LZC;5LZD;5LZE;5LZF;5MDV;5MDW;5MDY;5MDZ;5MGP;5NP6;5NWY;5O2R;5U9F;5U9G;5UYK;5UYL;5UYM;5UYN;5UYP;5UYQ;5WDT;5WE4;5WE6;5WF0;5WFK;5WFS;6BU8;6BY1;6C4I;6DNC;6ENF;6ENJ;6ENU;6H4N;6H58;6HRM;6O9J;6OM6;6ORE;6OSK;6OSQ;6OT3;6OUO;6Q97;6Q98;6Q9A;6SZS;6TBV;6TC3;6VU3;6VYQ;6VYR;6VYS;6VYT;6VYU;6VYW;6VYX;6VYY;6VYZ;6VZ2;6VZ3;6VZ5;6VZ7;6VZJ;6WNT;6WNV;6WNW;6X6T;6X7F;6X7K;6X9Q;6XDQ;6XDR;6XGF;6XII;6XIJ;6Y69;6ZTJ;6ZTO;6ZTP;6ZU1;7AC7;7ACJ;7ACR;7B5K;7BL2;7BL3;7BL4;7BL5;7BL6;7D6Z;7K00;7K50;7K51;7K52;7K53;7K54;7K55;7LV0;7M5D;7N1P;7N2C;7N2U;7N2V;7N30;7N31;7NBU;7O19;7O1A;7O1C;7OIZ;7OJ0;7P3K;7PJV;7PJY;7QG8;7QGH;7S1G;7S1H;7S1I;7S1J;7S1K;7SA4;7SSD;7SSL;7SSO;7ST2;7ST6;7ST7;7TOS;7UG7;7Y7C;7Y7D;7Y7E;7Y7F;7Y7G;7Y7H;7ZTA;8A3L;8AKN;8AM9;8ANA;8AP4;8AYE;8BF7;8BGH;8BHN;8BHP;8BIL;8BIM;8CAZ;8CGI;8EIU;8EKC;8EMM;8FIZ;8FTO;8G6W;8G6X;8G6Y;8G7P;8G7Q;8G7R;8G7S;8HSP;8HTZ;8HU1;8IFB;8IFC;8PEG;8PHJ;8PKL;8PVA;8QOA;8R3V;8RCL;8RCM;8RCS;8RCT;8SYL;
JW3909,P0A8U6,Met repressor (Met regulon regulatory protein MetJ),105,metJ,P0A8U6;,1CMA;1CMB;1CMC;1MJ2;1MJK;1MJL;1MJM;1MJO;1MJP;1MJQ;
JW3922,P69816,PTS system fructose-like EIIB component 2 (EC 2.7.1.202) (Fructose-like phosphotransferase enzyme IIB component 2),106,frwB,P69816;,
JW3925,P32676,PTS system fructose-like EIIB component 3 (EC 2.7.1.202) (Fructose-like phosphotransferase enzyme IIB component 3),113,frwD,P32676;,4TN5;
JW3936,P0AF40,Inner membrane protein YijD,119,yijD,P0AF40;,
JW3944,P0AG96,Protein translocase subunit SecE,127,secE,P0AG96;,2AKH;2AKI;3J45;3J46;4V6M;5GAE;5MG3;5NCO;6R7L;
JW3946,P0A7J7,Large ribosomal subunit protein uL11 (50S ribosomal protein L11),142,rplK,P0A7J7;,1EG0;1MJ1;1ML5;2J28;2RDO;3DEG;3EP2;3EQ3;3EQ4;3J0D;3J5L;3J7Z;3J8G;3J9Y;3J9Z;3JA1;3JBV;3JCD;3JCE;3JCJ;3JCN;487D;4CSU;4U1U;4U1V;4U20;4U24;4U25;4U26;4U27;4UY8;4V47;4V48;4V4H;4V4Q;4V4V;4V4W;4V50;4V52;4V53;4V54;4V55;4V56;4V57;4V5B;4V5H;4V5Y;4V64;4V65;4V66;4V69;4V6C;4V6D;4V6E;4V6K;4V6L;4V6M;4V6N;4V6O;4V6P;4V6Q;4V6R;4V6S;4V6T;4V6V;4V6Y;4V6Z;4V70;4V71;4V72;4V73;4V74;4V75;4V76;4V77;4V78;4V79;4V7A;4V7B;4V7C;4V7D;4V7I;4V7S;4V7T;4V7U;4V7V;4V85;4V89;4V9C;4V9D;4V9O;4V9P;4WF1;4WOI;4WWW;4YBB;5ADY;5AFI;5AKA;5GAD;5GAE;5GAF;5GAG;5GAH;5H5U;5IQR;5IT8;5J5B;5J7L;5J88;5J8A;5J91;5JC9;5JTE;5JU8;5KCR;5KCS;5KPS;5KPV;5KPW;5KPX;5L3P;5LZA;5LZB;5LZC;5LZD;5LZE;5LZF;5MDV;5MDW;5MDY;5MDZ;5NCO;5NP6;5NWY;5O2R;5U4I;5U9F;5U9G;5UYK;5UYL;5UYM;5UYN;5UYP;5UYQ;5WDT;5WE4;5WE6;5WF0;5WFK;5WFS;6BU8;6BY1;6C4I;6DNC;6GWT;6GXM;6GXN;6GXO;6GXP;6HRM;6I0Y;6I7V;6O9J;6O9K;6PJ6;6Q97;6Q98;6Q9A;6S0K;6U48;6VU3;6VYQ;6VYR;6VYS;6VZJ;6WD0;6WD1;6WD2;6WD3;6WD4;6WD5;6WD6;6WD7;6WD8;6WD9;6WDA;6WDB;6WDC;6WDD;6WDE;6WDF;6WDG;6WDH;6WDI;6WDJ;6WDK;6WDL;6WDM;6WNT;6WNV;6WNW;6X6T;6X7F;6X7K;6X9Q;6XDQ;6XDR;6XGF;6XII;6XIJ;6XZ7;6XZA;6XZB;6YSR;6YSS;6YST;6YSU;6ZTJ;7ABZ;7BL2;7BL3;7BL5;7BV8;7D6Z;7D80;7JSZ;7JT3;7K50;7K51;7K52;7K53;7K54;7K55;7LV0;7M5D;7N1P;7N2C;7N2V;7NWT;7OJ0;7PJS;7PJT;7PJV;7PJW;7PJX;7PJY;7PJZ;7QG8;7QGH;7QGN;7QGR;7SA4;7SS9;7SSD;7SSL;7SSN;7SSO;7SSW;7ST2;7ST6;7ST7;7TOS;7UG7;7YLA;8FIZ;8G7P;8G7Q;8PEG;8PHJ;8PKL;
JW3949,P0A7K2,Large ribosomal subunit protein bL12 (50S ribosomal protein L7/L12) (L8),121,rplL,P0A7K2;,1CTF;1RQS;1RQT;1RQU;1RQV;2BCW;3J7Z;4UY8;4V4V;4V4W;4V5M;4V5N;4V7B;4V7D;4V85;4V89;4V9O;5KCS;6I0Y;6VU3;6VYQ;6VYR;6VYS;6VZJ;6X6T;6X7F;6X7K;6X9Q;6XDQ;6XDR;6XGF;6XII;6XIJ;7N2C;8PHJ;
JW3959,P0AFX4,Regulator of sigma D,158,rsd,P0AFX4;,2P7V;4XWJ;
JW3964,P0ACF0,DNA-binding protein HU-alpha (HU-2) (NS2),90,hupA,P0ACF0;,1MUL;2O97;4YEW;4YEX;4YEY;4YF0;4YFH;4YFT;6O6K;6O8Q;6OAJ;
JW3971,P09162,Uncharacterized protein YjaA,127,yjaA,P09162;,
JW3972,P09163,Peptidyl-lysine N-acetyltransferase YjaB (EC 2.3.1.-) (KAT),147,yjaB,P09163;,2KCW;
JW4002,P0ABN1,Diacylglycerol kinase (DAGK) (EC 2.7.1.107) (Diglyceride kinase) (DGK),122,dgkA,P0ABN1;,2KDC;3ZE3;3ZE4;3ZE5;4BPD;4BRB;4BRR;4CJZ;4CK0;4D2E;4UP6;4UXW;4UXX;4UXZ;4UYO;5D56;5D57;5D6I;5DWK;7DVM;
JW4005,P68206,UPF0337 protein YjbJ,69,yjbJ,P68206;,1RYK;
JW4007,P32693,Uncharacterized protein YjbL,84,yjbL,P32693;,
JW4017,P0AF48,UPF0047 protein YjbQ,138,yjbQ,P0AF48;,
JW4018,P0AF50,Uncharacterized protein YjbR,118,yjbR,P0AF50;,2FKI;
JW5718,P32700,Uncharacterized protein YjcB,93,yjcB,P32700;,
JW4023,P0A9E2,Regulatory protein SoxS,107,soxS,P0A9E2;,7W5W;7W5X;7W5Y;
JW4024,P0ACS2,Redox-sensitive transcriptional activator SoxR,154,soxR,P0ACS2;,2ZHG;2ZHH;
JW4029,P0AF54,Inner membrane protein YjcH,104,yjcH,P0AF54;,
JW4036,P32711,Formate-dependent nitrite reductase complex subunit NrfF,127,nrfF,P32711;,
JW4051,P37351,Ribose-5-phosphate isomerase B (EC 5.3.1.6) (Phosphoriboisomerase B),149,rpiB,P37351;,1NN4;2VVR;
JW4054,P16691,Aminoalkylphosphonate N-acetyltransferase (EC 2.3.1.280) (KAT) (Peptidyl-lysine N-acetyltransferase) (EC 2.3.1.-),144,phnO,P16691;,
JW4062,P16685,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG (RPnTP synthase subunit PhnG) (EC 2.7.8.37),150,phnG,P16685;,4XB6;7Z15;7Z16;7Z17;7Z18;7Z19;
JW4068,P16681,Protein YjdN,147,yjdN,P16681;,
JW4069,P0AFJ1,Protein YjdM,111,yjdM,P0AFJ1;,
JW4087,P0AF59,Uncharacterized protein YjdI,76,yjdI,P0AF59;,
JW4088,P39274,Uncharacterized protein YjdJ,90,yjdJ,P39274;,5I0C;
JW4100,P37147,UPF0716 protein FxsA (Suppressor of F exclusion of phage T7),158,fxsA,P37147;,
JW4102,P0A6F9,Co-chaperonin GroES (10 kDa chaperonin) (Chaperonin-10) (Cpn10),97,groES,P0A6F9;,1AON;1EGS;1GRU;1PCQ;1PF9;1SVT;1SX4;2C7C;2C7D;3WVL;3ZPZ;3ZQ0;3ZQ1;5OPX;7PBJ;7PBX;7VWX;8BA9;8BKZ;8BM0;8BM1;8BMO;8BMT;
JW5736,P0AF70,Uncharacterized protein YjeI,117,yjeI,P0AF70;,
JW4112,P0A8Q3,Fumarate reductase subunit D (Fumarate reductase 13 kDa hydrophobic protein) (Quinol-fumarate reductase subunit D) (QFR subunit D),119,frdD,P0A8Q3;,1KF6;1KFY;1L0V;2B76;3CIR;3P4P;3P4Q;3P4R;3P4S;4KX6;5VPN;6AWF;
JW4113,P0A8Q0,Fumarate reductase subunit C (Fumarate reductase 15 kDa hydrophobic protein) (Quinol-fumarate reductase subunit C) (QFR subunit C),131,frdC,P0A8Q0;,1KF6;1KFY;1L0V;2B76;3CIR;3P4P;3P4Q;3P4R;3P4S;5VPN;6AWF;
JW4118,P39283,Uncharacterized protein YjeN,104,yjeN,P39283;,
JW4119,P39284,Inner membrane protein YjeO,104,yjeO,P39284;,
JW4126,P0AF67,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaE),153,tsaE,P0AF67;,
JW4130,P0A6X3,RNA-binding protein Hfq (HF-1) (Host factor-I protein) (HF-I),102,hfq,P0A6X3;,1HK9;2Y90;2YHT;3GIB;3QHS;3QO3;3RER;3RES;3VU3;4JRI;4JRK;4JUV;4RCB;4RCC;4V2S;5NEW;5UK7;6BDG;6QLB;7OGM;
JW4134,P0AF73,Uncharacterized protein YjeT,65,yjeT,P0AF73;,
JW4136,P0AF63,HTH-type transcriptional repressor NsrR,141,nsrR,P0AF63;,
JW4139,P0AF76,Uncharacterized protein YjfI,133,yjfI,P0AF76;,
JW4142,P0AF80,UPF0719 inner membrane protein YjfL,132,yjfL,P0AF80;,
JW5742,P0AF82,Uncharacterized protein YjfN,91,yjfN,P0AF82;,
JW5743,P39297,Lipoprotein BsmA (Biofilm stress and motility protein),109,bsmA,P39297;,
JW4152,P69822,Ascorbate-specific PTS system EIIB component (EC 2.7.1.194) (Ascorbate-specific phosphotransferase enzyme IIB component),101,ulaB,P69822;,
JW4153,P69820,Ascorbate-specific PTS system EIIA component (Ascorbate-specific phosphotransferase enzyme IIA component),154,ulaC,P69820;,
JW4157,P0AF86,Uncharacterized protein YjfY,91,yjfY,P0AF86;,
JW4158,P02358,"Small ribosomal subunit protein bS6 (30S ribosomal protein S6) [Cleaved into: Small ribosomal subunit protein bS6, fully modified isoform; Small ribosomal subunit protein bS6, non-modified isoform]",135,rpsF,P02358;,1EG0;2YKR;3IY8;3J9Y;3J9Z;3JA1;3JBU;3JBV;3JCD;3JCE;3JCJ;3JCN;4A2I;4ADV;4U1U;4U1V;4U20;4U24;4U25;4U26;4U27;4V47;4V48;4V4H;4V4Q;4V4V;4V4W;4V50;4V52;4V53;4V54;4V55;4V56;4V57;4V5B;4V5H;4V5Y;4V64;4V65;4V66;4V69;4V6C;4V6D;4V6E;4V6K;4V6L;4V6M;4V6N;4V6O;4V6P;4V6Q;4V6R;4V6S;4V6T;4V6V;4V6Y;4V6Z;4V70;4V71;4V72;4V73;4V74;4V75;4V76;4V77;4V78;4V79;4V7A;4V7B;4V7C;4V7D;4V7I;4V7S;4V7T;4V7U;4V7V;4V85;4V89;4V9C;4V9D;4V9O;4V9P;4WF1;4WOI;4WWW;4YBB;5AFI;5H5U;5IQR;5IT8;5J5B;5J7L;5J88;5J8A;5J91;5JC9;5JTE;5JU8;5KCR;5KCS;5KPS;5KPV;5KPW;5KPX;5L3P;5LZA;5LZB;5LZC;5LZD;5LZE;5LZF;5MDV;5MDW;5MDY;5MDZ;5ME0;5ME1;5MGP;5MY1;5NO2;5NO3;5NO4;5NP6;5NWY;5O2R;5U4I;5U9F;5U9G;5UYK;5UYL;5UYM;5UYN;5UYP;5UYQ;5UZ4;5WDT;5WE4;5WE6;5WF0;5WFK;5WFS;6AWB;6AWC;6AWD;6BU8;6BY1;6C4I;6DNC;6ENF;6ENJ;6ENU;6GWT;6GXM;6GXN;6GXO;6GXP;6H4N;6H58;6HRM;6I7V;6NQB;6O7K;6O9J;6O9K;6OFX;6OG7;6OGF;6OGG;6OGI;6OM6;6ORE;6ORL;6OSK;6OSQ;6OST;6OT3;6OUO;6Q97;6Q98;6Q9A;6SZS;6TBV;6TC3;6VU3;6VWL;6VWM;6VWN;6VYQ;6VYR;6VYS;6VYT;6VYU;6VYW;6VYX;6VYY;6VYZ;6VZ2;6VZ3;6VZ5;6VZ7;6VZJ;6W6K;6W77;6W7M;6W7W;6WD0;6WD1;6WD2;6WD3;6WD4;6WD5;6WD6;6WD7;6WD8;6WD9;6WDA;6WDB;6WDC;6WDD;6WDE;6WDF;6WDG;6WDH;6WDI;6WDJ;6WDK;6WDL;6WDM;6WNV;6WNW;6X6T;6X7F;6X7K;6X9Q;6XDQ;6XDR;6XE0;6XGF;6XII;6XIJ;6XZA;6XZB;6Y69;6ZTJ;6ZTL;6ZTM;6ZTN;6ZTO;6ZTP;6ZU1;7ABZ;7AC7;7ACJ;7ACR;7AFI;7AFL;7AFO;7B5K;7BOD;7BOE;7BOF;7BOG;7BOH;7BOI;7CPJ;7D6Z;7D80;7JSS;7JSW;7JSZ;7JT1;7JT2;7JT3;7K00;7K50;7K51;7K52;7K53;7K54;7K55;7LV0;7M5D;7N1P;7N2C;7N2U;7N2V;7N30;7N31;7NAR;7NAS;7NAT;7NAU;7NAV;7NAX;7NBU;7NWT;7O19;7O1A;7O1C;7O5H;7OE0;7OE1;7OI0;7OIZ;7OJ0;7P3K;7PJS;7PJT;7PJU;7PJV;7PJW;7PJX;7PJY;7PJZ;7Q4K;7QG8;7QGH;7QGR;7S1G;7S1H;7S1I;7S1J;7S1K;7SA4;7SS9;7SSD;7SSL;7SSN;7SSO;7SSW;7ST2;7ST6;7ST7;7TOS;7UG7;7UPH;7Y7C;7Y7D;7Y7E;7Y7F;7Y7G;7Y7H;7ZTA;8A3L;8AKN;8AM9;8AYE;8B0X;8B7Y;8BF7;8BGE;8BGH;8BH4;8BHJ;8BHL;8BHN;8BHP;8BIL;8BIM;8CAI;8CEP;8CGJ;8CGR;8CGU;8EIU;8EKC;8EMM;8EYQ;8EYT;8FIZ;8FTO;8G2U;8G31;8G34;8G38;8G6W;8GHU;8HSP;8HTZ;8HU1;8IFB;8IFC;8JSG;8JSH;8PEG;8PHJ;8PKL;8PVA;8QBT;8QOA;8R3V;8RCL;8RCM;8RCS;8RCT;
JW4159,P07013,Primosomal replication protein N,104,priB,P07013;,1TXY;1V1Q;1WOC;2CCZ;2PNH;5WQV;8FAK;
JW4160,P0A7T7,Small ribosomal subunit protein bS18 (30S ribosomal protein S18),75,rpsR,P0A7T7;,2YKR;3IY8;3J9Y;3J9Z;3JA1;3JBU;3JBV;3JCD;3JCE;3JCJ;3JCN;4A2I;4ADV;4U1U;4U1V;4U20;4U24;4U25;4U26;4U27;4V47;4V48;4V4H;4V4Q;4V4V;4V4W;4V50;4V52;4V53;4V54;4V55;4V56;4V57;4V5B;4V5H;4V5Y;4V64;4V65;4V66;4V69;4V6C;4V6D;4V6E;4V6K;4V6L;4V6M;4V6N;4V6O;4V6P;4V6Q;4V6R;4V6S;4V6T;4V6V;4V6Y;4V6Z;4V70;4V71;4V72;4V73;4V74;4V75;4V76;4V77;4V78;4V79;4V7A;4V7B;4V7C;4V7D;4V7I;4V7S;4V7T;4V7U;4V7V;4V85;4V89;4V9C;4V9D;4V9O;4V9P;4WF1;4WOI;4WWW;4YBB;5AFI;5H5U;5IQR;5IT8;5J5B;5J7L;5J88;5J8A;5J91;5JC9;5JTE;5JU8;5KCR;5KCS;5KPS;5KPV;5KPW;5KPX;5L3P;5LZA;5LZB;5LZC;5LZD;5LZE;5LZF;5MDV;5MDW;5MDY;5MDZ;5ME0;5ME1;5MGP;5MY1;5NO2;5NO3;5NO4;5NP6;5NWY;5O2R;5U4I;5U9F;5U9G;5UYK;5UYL;5UYM;5UYN;5UYP;5UYQ;5UZ4;5WDT;5WE4;5WE6;5WF0;5WFK;5WFS;6AWB;6AWC;6AWD;6BU8;6BY1;6C4I;6DNC;6ENF;6ENJ;6ENU;6GWT;6GXM;6GXN;6GXO;6GXP;6H4N;6H58;6HRM;6I7V;6O7K;6O9J;6O9K;6OFX;6OG7;6OGF;6OGG;6OGI;6OM6;6ORE;6ORL;6OSK;6OSQ;6OST;6OT3;6OUO;6Q97;6Q98;6Q9A;6SZS;6TBV;6TC3;6VU3;6VWL;6VWM;6VWN;6VYQ;6VYR;6VYS;6VYT;6VYU;6VYW;6VYX;6VYY;6VYZ;6VZ2;6VZ3;6VZ5;6VZ7;6VZJ;6W6K;6W77;6W7M;6WD0;6WD1;6WD2;6WD3;6WD4;6WD5;6WD6;6WD7;6WD8;6WD9;6WDA;6WDB;6WDC;6WDD;6WDE;6WDF;6WDG;6WDH;6WDI;6WDJ;6WDK;6WDL;6WDM;6WNV;6WNW;6X6T;6X7F;6X7K;6X9Q;6XDQ;6XDR;6XE0;6XGF;6XII;6XIJ;6XZA;6XZB;6Y69;6ZTJ;6ZTL;6ZTM;6ZTN;6ZTO;6ZTP;6ZU1;7ABZ;7AC7;7ACJ;7ACR;7AFI;7AFL;7AFO;7B5K;7BOD;7BOE;7BOF;7BOG;7BOH;7BOI;7D6Z;7D80;7JSS;7JSW;7JSZ;7JT1;7JT2;7JT3;7K00;7K50;7K51;7K52;7K53;7K54;7K55;7LV0;7M5D;7N1P;7N2C;7N2U;7N2V;7N30;7N31;7NAR;7NAS;7NAT;7NAU;7NAV;7NAX;7NBU;7O19;7O1A;7O1C;7O5H;7OE0;7OE1;7OI0;7OIZ;7OJ0;7P3K;7PJY;7QG8;7QGH;7S1G;7S1H;7S1I;7S1J;7S1K;7SA4;7SS9;7SSD;7SSL;7SSN;7SSO;7SSW;7ST2;7ST6;7ST7;7TOS;7UG7;7UPH;7Y7C;7Y7D;7Y7E;7Y7F;7Y7G;7Y7H;7ZTA;8A3L;8AKN;8AM9;8AYE;8B0X;8B7Y;8BF7;8BGE;8BGH;8BH4;8BHJ;8BHL;8BHN;8BHP;8BIL;8BIM;8CAI;8CEP;8CGJ;8CGR;8CGU;8EIU;8EKC;8EMM;8FIZ;8G6W;8GHU;8HSP;8HTZ;8HU1;8IFB;8IFC;8JSG;8JSH;8PEG;8PHJ;8PKL;8PVA;8QBT;8QOA;8R3V;8RCL;8RCM;8RCS;8RCT;
JW4161,P0A7R1,Large ribosomal subunit protein bL9 (50S ribosomal protein L9),149,rplI,P0A7R1;,2J28;2RDO;3BBX;3IY9;3J5L;3J7Z;3J8G;3J9Y;3J9Z;3JA1;3JBU;3JBV;3JCD;3JCE;3JCJ;3JCN;487D;4CSU;4U1U;4U1V;4U20;4U24;4U25;4U26;4U27;4UY8;4V47;4V48;4V4H;4V4Q;4V4V;4V4W;4V50;4V52;4V53;4V54;4V55;4V56;4V57;4V5B;4V5H;4V5Y;4V64;4V65;4V66;4V69;4V6C;4V6D;4V6E;4V6K;4V6L;4V6M;4V6N;4V6O;4V6P;4V6Q;4V6R;4V6S;4V6T;4V6V;4V6Y;4V6Z;4V70;4V71;4V72;4V73;4V74;4V75;4V76;4V77;4V78;4V79;4V7A;4V7B;4V7C;4V7D;4V7I;4V7S;4V7T;4V7U;4V7V;4V9C;4V9D;4V9O;4V9P;4WF1;4WOI;4WWW;4YBB;5ADY;5AFI;5AKA;5GAD;5GAE;5GAF;5GAG;5GAH;5H5U;5IQR;5IT8;5J5B;5J7L;5J88;5J8A;5J91;5JC9;5JTE;5JU8;5KCR;5KCS;5KPS;5KPV;5KPW;5KPX;5L3P;5LZA;5LZB;5LZC;5LZD;5LZE;5LZF;5MDV;5MDW;5MDY;5MDZ;5MGP;5NCO;5NP6;5NWY;5O2R;5U4I;5U9F;5U9G;5UYK;5UYL;5UYM;5UYN;5UYP;5UYQ;5WDT;5WE4;5WE6;5WF0;5WFK;5WFS;6BU8;6BY1;6C4I;6DNC;6ENU;6GBZ;6GC0;6GC4;6GC8;6GWT;6GXM;6GXN;6GXO;6GXP;6H4N;6H58;6HRM;6I0Y;6I7V;6O9J;6OFX;6OG7;6OGF;6OGG;6OGI;6OM6;6ORE;6ORL;6OSK;6OSQ;6OST;6OT3;6OUO;6PJ6;6Q97;6Q98;6Q9A;6QDW;6QUL;6S0K;6SZS;6TBV;6TC3;6U48;6VU3;6VWL;6VWM;6VWN;6VYQ;6VYR;6VYS;6VYT;6VYU;6VYW;6VYX;6VYY;6VYZ;6VZ2;6VZ3;6VZ5;6VZ7;6VZJ;6WD0;6WD1;6WD2;6WD3;6WD4;6WD5;6WD6;6WD7;6WD8;6WD9;6WDA;6WDB;6WDC;6WDD;6WDE;6WDF;6WDG;6WDH;6WDI;6WDJ;6WDK;6WDL;6WDM;6WNT;6WNV;6WNW;6X6T;6X7F;6X7K;6X9Q;6XDQ;6XDR;6XGF;6XII;6XIJ;6Y69;6YS3;6YSR;6YSS;6YST;6YSU;6ZTJ;6ZTL;6ZTM;6ZTN;6ZTO;6ZTP;6ZU1;7ABZ;7AC7;7ACJ;7ACR;7B5K;7BL2;7BL3;7BL4;7BL5;7BL6;7BV8;7D6Z;7D80;7JSS;7JSW;7JSZ;7JT1;7JT2;7JT3;7K00;7K50;7K51;7K52;7K53;7K54;7K55;7LV0;7LVK;7M5D;7N1P;7N2C;7N2U;7N2V;7N30;7N31;7NSO;7NSP;7NSQ;7NWT;7NWW;7O19;7O1A;7O1C;7OIF;7OIG;7OII;7OIZ;7OJ0;7OT5;7P3K;7PJS;7PJT;7PJV;7PJW;7PJX;7PJY;7PJZ;7Q4K;7QG8;7QGH;7QGN;7QGR;7S1G;7S1H;7S1I;7S1J;7S1K;7SA4;7SS9;7SSD;7SSL;7SSO;7SSW;7ST2;7ST6;7ST7;7TOS;7UG7;7Y7C;7Y7D;7Y7E;7Y7F;7Y7G;7Y7H;7YLA;7Z20;7ZOD;7ZP8;7ZQ5;7ZQ6;7ZTA;8A3L;8AKN;8AM9;8ANA;8AP4;8AYE;8B0X;8BF7;8BGE;8BGH;8BH4;8BHJ;8BHL;8BHN;8BHP;8BIL;8BIM;8C8X;8C8Y;8C8Z;8CAM;8CEU;8CGD;8CGK;8CGV;8EIU;8EKC;8EMM;8FIZ;8FTO;8G6W;8G6X;8G6Y;8HSP;8HTZ;8HU1;8IFB;8IFC;8J1Z;8PEG;8PHJ;8PKL;8PVA;8QBT;8QOA;8R3V;8RCL;8RCM;8RCS;8RCT;8SYL;
JW4163,P39309,Putative uncharacterized protein YtfA,108,ytfA,P39309;,
JW5747,P0ACN2,Uncharacterized HTH-type transcriptional regulator YtfH,126,ytfH,P0ACN2;,
JW5749,P0ADE2,Uncharacterized protein YtfK,68,ytfK,P0ADE2;,
JW4181,P0AE48,Gamma-glutamylcyclotransferase family protein YtfP,113,ytfP,P0AE48;,1XHS;
JW4184,P33647,Endoribonuclease toxin ChpB (EC 3.1.-.-) (Toxin ChpB) (mRNA interferase ChpB),116,chpB,P33647;,
JW4196,P0A9N8,Anaerobic ribonucleoside-triphosphate reductase-activating protein (EC 1.97.1.-) (Class III anaerobic ribonucleotide reductase small component),154,nrdG,P0A9N8;,
